time,stat,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-09-06 11:05:00,Ok,1693978500,44489.15,44504.6,44488.25,44495.9,0.00,0,0,0,0
2023-09-06 11:10:00,Ok,1693978800,44498.0,44501.85,44455.95,44475.9,0.00,0,0,0,0
2023-09-06 11:15:00,Ok,1693979100,44476.05,44483.6,44452.1,44464.6,0.00,0,0,0,0
2023-09-06 11:20:00,Ok,1693979400,44465.1,44466.25,44416.7,44427.55,0.00,0,0,0,0
2023-09-06 11:25:00,Ok,1693979700,44422.0,44441.95,44405.9,44410.7,0.00,0,0,0,0
2023-09-06 11:30:00,Ok,1693980000,44411.8,44437.25,44408.9,44417.5,0.00,0,0,0,0
2023-09-06 11:35:00,Ok,1693980300,44418.7,44434.65,44361.25,44381.2,0.00,0,0,0,0
2023-09-06 11:40:00,Ok,1693980600,44380.8,44385.8,44352.85,44364.85,0.00,0,0,0,0
2023-09-06 11:45:00,Ok,1693980900,44364.55,44373.05,44337.35,44355.1,0.00,0,0,0,0
2023-09-06 11:50:00,Ok,1693981200,44358.0,44379.2,44358.0,44365.7,0.00,0,0,0,0
2023-09-06 11:55:00,Ok,1693981500,44367.55,44385.85,44356.7,44385.1,0.00,0,0,0,0
2023-09-06 12:00:00,Ok,1693981800,44382.7,44399.1,44358.05,44358.05,0.00,0,0,0,0
2023-09-06 12:05:00,Ok,1693982100,44358.6,44379.55,44343.15,44379.55,0.00,0,0,0,0
2023-09-06 12:10:00,Ok,1693982400,44380.15,44405.3,44377.5,44391.35,0.00,0,0,0,0
2023-09-06 12:15:00,Ok,1693982700,44395.5,44398.6,44374.7,44383.2,0.00,0,0,0,0
2023-09-06 12:20:00,Ok,1693983000,44383.75,44390.9,44337.85,44339.55,0.00,0,0,0,0
2023-09-06 12:25:00,Ok,1693983300,44342.2,44350.45,44319.5,44338.7,0.00,0,0,0,0
2023-09-06 12:30:00,Ok,1693983600,44333.4,44342.0,44315.75,44335.8,0.00,0,0,0,0
